,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
Jose_CryingClosedMouth.png,0.30584216117858887,0.20687395334243774,0.4468885660171509,0.25970202684402466,0.19827447831630707,1.0,0.5512786507606506,0.8417490124702454,0.0,0.08828660100698471,0.4335845112800598,0.7341001629829407,0.6927809119224548,0.0,0.6131309866905212,0.6692854166030884,0.23758259415626526,0.0721803829073906,0.44824281334877014,0.898535430431366
Isabel_SuppressedSadness.png,0.23554697632789612,0.24661020934581757,0.6006807088851929,0.338701069355011,0.13513757288455963,0.0,0.10072700679302216,0.0026480022352188826,0.0,0.08169291913509369,0.20537033677101135,0.21994858980178833,0.6575095653533936,0.0,0.378242164850235,0.656171441078186,0.0042748828418552876,0.20572532713413239,0.2969251871109009,0.043549150228500366
Lluis_Sad.png,0.5154099464416504,0.34853994846343994,0.22183699905872345,0.3418883979320526,0.2141098529100418,0.0,0.14077547192573547,0.035123396664857864,1.0,0.19454747438430786,0.5502590537071228,0.4566071331501007,0.6364651322364807,0.0,0.5893136262893677,0.5763804912567139,0.3081825077533722,0.18935109674930573,0.487908273935318,0.03771819919347763
Francisca_NearlyCrying.png,0.4969801902770996,0.19026251137256622,0.40502306818962097,0.4194609224796295,0.060340940952301025,0.0,0.11158203333616257,0.02008429355919361,0.0,0.01755658909678459,0.23132038116455078,0.4418180286884308,0.5885021686553955,0.0,0.6671880483627319,0.8208538889884949,0.009273746982216835,0.11088827252388,0.16501228511333466,0.03775688260793686
Alicia_CryingClosedMouth.png,0.3039417564868927,0.28515562415122986,0.330812007188797,0.37672632932662964,0.08825897425413132,0.0,0.22999446094036102,0.024548161774873734,0.0,0.04288241267204285,0.4356626570224762,0.6714258790016174,0.6549741625785828,0.0,0.6607922315597534,0.8053866624832153,0.6763464212417603,0.2820538580417633,0.3303627669811249,0.17947997152805328
Cristina_CryingClosedMouth.png,0.30928027629852295,0.12254763394594193,0.7516137957572937,0.33477452397346497,0.06305301189422607,1.0,0.11804761737585068,0.008137541823089123,1.0,0.029658768326044083,0.3730822503566742,0.23912158608436584,0.5661042332649231,0.0,0.7905930876731873,0.7754690051078796,0.06901031732559204,0.2666017711162567,0.79780513048172,0.04609733074903488
Kurt_NearlyCrying.png,0.3624008893966675,0.15596680343151093,0.5686883330345154,0.38201460242271423,0.05100104585289955,0.0,0.15522591769695282,0.4325072467327118,0.0,0.00781983882188797,0.20533965528011322,0.6469455361366272,0.5511928796768188,0.0,0.5254698991775513,0.690450131893158,0.05257999524474144,0.2205333560705185,0.13549929857254028,0.0419461764395237
Mateu_Sad.png,0.8574115633964539,0.5452212691307068,0.3743707537651062,0.3401210308074951,0.0936369001865387,0.0,0.1453523337841034,0.05789780989289284,0.0,0.08979635685682297,0.3476853370666504,0.15353253483772278,0.4699612557888031,0.0,0.5464631915092468,0.49842214584350586,0.9828360676765442,0.3115237355232239,0.12199822813272476,0.071857750415802
Catalina_Sad.png,0.8095002174377441,0.5664493441581726,0.12613077461719513,0.43085628747940063,0.12083381414413452,0.0,0.17739799618721008,0.03342386335134506,0.0,0.056038450449705124,0.18443258106708527,0.5335808992385864,0.5408239364624023,0.0,0.4208885133266449,0.21725738048553467,0.13669811189174652,0.2042178213596344,0.3969022333621979,0.20156177878379822
Sebastiana_CryingClosedMouth.png,0.5789009928703308,0.18413066864013672,0.2061014622449875,0.2306663542985916,0.10698159039020538,0.0,0.2933271825313568,0.015133265405893326,1.0,0.06516463309526443,0.3293762803077698,0.33812785148620605,0.45723310112953186,0.0,0.4992172420024872,0.6451131701469421,0.06634663045406342,0.11529160290956497,0.2164916694164276,0.665564239025116
